FW,Serial No/VIN,VIN6,Ending Balance, 2100        ,VIN6,Description,Control    
2026 Subaru CROSSTREK5 DO,4S4GUHD67T3756181,756181,"$28,654.00 "," (28,654.00)",756181,2026 SUBARU CROSSTREK   3/20/26  4S4GUHD67T3756181,R5107
2026 Subaru CROSSTREK5 DO,4S4GUHD68T3756254,756254,"$28,654.00 "," (28,654.00)",756254,2026 SUBARU CROSSTREK   3/30/26  4S4GUHD68T3756254,R5187
2026 Subaru CROSSTREK5 DO,4S4GUHD66T3756365,756365,"$28,654.00 "," (28,654.00)",756365,2026 SUBARU CROSSTREK   3/20/26  4S4GUHD66T3756365,R5105
2026 Subaru CROSSTREK5 DO,4S4GUHD64T3730606,730606,"$28,669.00 "," (28,669.00)",730606,2026 SUBARU CROSSTREK   1/21/26  4S4GUHD64T3730606,R4881
2026 Subaru CROSSTREK5 DO,4S4GUHD6XT3707704,707704,"$28,722.00 ",,,,
2026 Buick BUCK ENVIST,KL47LBEP0TB160471,160471,"$28,843.05 "," (28,843.05)",160471,2026 BUICK ENVISTA      3/09/26  KL47LBEP0TB160471,B36403
2026 Buick BUCK ENVIST,KL47LBEP8TB160590,160590,"$28,843.05 "," (28,843.05)",160590,2026 BUICK ENVISTA      3/04/26  KL47LBEP8TB160590,B36367
2026 Subaru CROSSTREK5 DO,4S4GUHD66T3735807,735807,"$28,891.00 "," (28,891.00)",735807,2026 SUBARU CROSSTREK   1/29/26  4S4GUHD66T3735807,R4902
2025 Subaru CROSSTREK5 DO,4S4GUHF67S3767712,767712,"$28,925.00 "," (28,925.00)",767712,SUBARU LOANER          12/31/25  4S4GUHF67S3767712,R4370
2025 Subaru LEGACYSEDANPR,4S3BWAF65S3025440,025440,"$29,084.00 "," (29,084.00)",025440,4S3BWAF65S3025440,R4129
2026 Subaru CROSSTREK5 DO,4S4GUHF68T3717905,717905,"$29,134.00 ",,,,
2026 Buick ENVISTA,KL47LBEP0TB119872,119872,"$29,160.01 "," (29,160.01)",119872,2026 BUICK ENVISTA      2/17/26  KL47LBEP0TB119872,B36267
2026 Subaru CROSSTREK5 DO,4S4GUHF63T3704821,704821,"$29,240.00 "," (29,240.00)",704821,SUBARU LOANER          10/31/25  4S4GUHF63T3704821,R4589
2026 Buick BUCK ENVIST,KL47LBEP0TB145825,145825,"$29,300.93 "," (29,300.93)",145825,2026 BUICK ENVISTA      2/25/26  KL47LBEP0TB145825,B36349
2026 Buick BUCK ENVIST,KL47LBEP2TB145826,145826,"$29,300.93 "," (29,300.93)",145826,2026 BUICK ENVISTA      3/04/26  KL47LBEP2TB145826,B36364
2026 Buick BUCK ENVIST,KL47LBEP6TB145831,145831,"$29,300.93 "," (29,300.93)",145831,2026 BUICK ENVISTA      2/24/26  KL47LBEP6TB145831,B36345
2026 Buick BUCK ENVIST,KL47LBEP2TB146572,146572,"$29,300.93 "," (29,300.93)",146572,2026 BUICK ENVISTA      2/25/26  KL47LBEP2TB146572,B36350
2026 Buick BUCK ENVIST,KL47LBEP6TB146672,146672,"$29,300.93 "," (29,300.93)",146672,2026 BUICK ENVISTA      2/25/26  KL47LBEP6TB146672,B36351
2026 Buick BUCK ENVIST,KL47LBEP4TB160330,160330,"$29,300.93 "," (29,300.93)",160330,2026 BUICK ENVISTA      3/04/26  KL47LBEP4TB160330,B36366
2026 Buick BUCK ENVIST,KL47LBEP0TB164519,164519,"$29,300.93 "," (29,300.93)",164519,2026 BUICK ENVISTA      3/04/26  KL47LBEP0TB164519,B36365
2026 Buick BUCK ENVIST,KL47LBEP6TB148521,148521,"$29,393.43 "," (29,393.43)",148521,2026 BUICK ENVISTA      2/16/26  KL47LBEP6TB148521,B36305
2026 Buick BUCK ENVIST,KL47LBEP7TB152920,152920,"$29,393.43 "," (29,393.43)",152920,2026 BUICK ENVISTA      3/26/26  KL47LBEP7TB152920,B36592
2026 Buick BUCK ENVIST,KL47LBEP9TB152921,152921,"$29,393.43 "," (29,393.43)",152921,2026 BUICK ENVISTA      3/26/26  KL47LBEP9TB152921,B36593
2026 Buick BUCK ENVIST,KL47LBEP1TB152945,152945,"$29,393.43 "," (29,393.43)",152945,2026 BUICK ENVISTA      3/11/26  KL47LBEP1TB152945,B36430
2026 Buick BUCK ENVIST,KL47LBEP7TB166705,166705,"$29,393.43 "," (29,393.43)",166705,2026 BUICK ENVISTA      3/09/26  KL47LBEP7TB166705,B36401
2026 Buick BUCK ENVIST,KL47LBEP0TB166755,166755,"$29,393.43 "," (29,393.43)",166755,2026 BUICK ENVISTA      3/09/26  KL47LBEP0TB166755,B36392
2026 Buick BUCK ENVIST,KL47LBEP0TB168621,168621,"$29,393.43 "," (29,393.43)",168621,2026 BUICK ENVISTA      3/09/26  KL47LBEP0TB168621,B36402
2026 Buick BUCK ENVIST,KL47LBEP6TB169756,169756,"$29,393.43 "," (29,393.43)",169756,2026 BUICK ENVISTA      3/17/26  KL47LBEP6TB169756,B36470
2026 Buick BUCK ENVIST,KL47LBEP6TB063551,063551,"$29,496.80 "," (29,496.80)",063551,2026 BUICK ENVISTA     10/06/25  KL47LBEP6TB063551,B35520
2026 Buick ENCORE,KL4AMBSL9TB051589,051589,"$29,518.00 "," (29,518.00)",051589,2026 BUICK ENCORE GX    2/17/26  KL4AMBSL9TB051589,B36279
2026 Buick ENCORE,KL4AMBSL8TB053463,053463,"$29,518.00 "," (29,518.00)",053463,2026 BUICK ENCORE GX    2/17/26  KL4AMBSL8TB053463,B36278
2026 Buick ENCORE,KL4AMBSL6TB086459,086459,"$29,518.00 "," (29,518.00)",086459,2026 BUICK ENCORE GX    2/17/26  KL4AMBSL6TB086459,B36277
2026 Buick BUCK ENCOR G,KL4AMDSL2TB166157,166157,"$29,559.98 "," (29,559.98)",166157,2026 BUICK ENCORE GX    3/05/26  KL4AMDSL2TB166157,B36377
2026 Buick BUCK ENCOR G,KL4AMDSL5TB167884,167884,"$29,559.98 "," (29,559.98)",167884,2026 BUICK ENCORE GX    3/09/26  KL4AMDSL5TB167884,B36397
2026 Buick BUCK ENCOR G,KL4AMDSL3TB168287,168287,"$29,559.98 "," (29,559.98)",168287,2026 BUICK ENCORE GX    3/09/26  KL4AMDSL3TB168287,B36396
2026 Buick BUCK ENCOR G,KL4AMDSL3TB169942,169942,"$29,559.98 "," (29,559.98)",169942,2026 BUICK ENCORE GX    3/23/26  KL4AMDSL3TB169942,B36519
2026 Buick BUCK ENCOR G,KL4AMDSL7TB170155,170155,"$29,559.98 "," (29,559.98)",170155,2026 BUICK ENCORE GX    3/27/26  KL4AMDSL7TB170155,B36628
2026 Buick BUCK ENCOR G,KL4AMDSL2TB170189,170189,"$29,559.98 "," (29,559.98)",170189,2026 BUICK ENCORE GX    3/18/26  KL4AMDSL2TB170189,B36479
2026 Buick ENVISTA,KL47LBEP2TB119887,119887,"$29,615.40 "," (29,615.40)",119887,"HALKMON, SHUNIQUA LAS   2/17/26  KL47LBEP2TB119887",B36270
2026 Buick BUCK ENCOR G,KL4AMDSLXTB034554,034554,"$29,648.45 "," (29,648.45)",034554,2026 BUICK ENCORE GX    7/30/25  KL4AMDSLXTB034554,B35056
2026 Buick BUCK ENCOR G,KL4AMDSL2TB153635,153635,"$29,652.48 "," (29,652.48)",153635,2026 BUICK ENCORE GX    3/13/26  KL4AMDSL2TB153635,B36450
2026 Buick BUCK ENCOR G,KL4AMDSLXTB158808,158808,"$29,652.48 "," (29,652.48)",158808,2026 BUICK ENCORE GX    3/10/26  KL4AMDSLXTB158808,B36420
2026 Buick BUCK ENVIST,KL47LBEP4TB126842,126842,"$29,851.30 "," (29,851.30)",126842,2026 BUICK ENVISTA      2/10/26  KL47LBEP4TB126842,B36242
2026 Buick BUCK ENVIST,KL47LBEP0TB126935,126935,"$29,851.30 "," (29,851.30)",126935,2026 BUICK ENVISTA      2/09/26  KL47LBEP0TB126935,B36231
2026 Buick BUCK ENVIST,KL47LBEP8TB127007,127007,"$29,851.30 "," (29,851.30)",127007,2026 BUICK ENVISTA      2/10/26  KL47LBEP8TB127007,B36244
2026 Buick BUCK ENVIST,KL47LBEP4TB127084,127084,"$29,851.30 "," (29,851.30)",127084,2026 BUICK ENVISTA      2/09/26  KL47LBEP4TB127084,B36229
2026 Buick BUCK ENVIST,KL47LBEP6TB150673,150673,"$29,851.30 "," (29,851.30)",150673,2026 BUICK ENVISTA      3/13/26  KL47LBEP6TB150673,B36449
2026 Buick BUCK ENVIST,KL47LBEP5TB150695,150695,"$29,851.30 "," (29,851.30)",150695,2026 BUICK ENVISTA      2/16/26  KL47LBEP5TB150695,B36296
2026 Buick BUCK ENVIST,KL47LBEP7TB150701,150701,"$29,851.30 "," (29,851.30)",150701,2026 BUICK ENVISTA      2/16/26  KL47LBEP7TB150701,B36297
2026 Buick BUCK ENVIST,KL47LBEP4TB151532,151532,"$29,851.30 "," (29,851.30)",151532,2026 BUICK ENVISTA      2/16/26  KL47LBEP4TB151532,B36295
2026 Buick BUCK ENVIST,KL47LBEP0TB154430,154430,"$29,851.30 "," (29,851.30)",154430,2026 BUICK ENVISTA      3/23/26  KL47LBEP0TB154430,B36539
2026 Buick BUCK ENVIST,KL47LBEP5TB164693,164693,"$29,851.30 "," (29,851.30)",164693,2026 BUICK ENVISTA      3/04/26  KL47LBEP5TB164693,B36368
2026 Buick BUCK ENVIST,KL47LBEP9TB167810,167810,"$29,851.30 "," (29,851.30)",167810,2026 BUICK ENVISTA      3/09/26  KL47LBEP9TB167810,B36393
2026 Buick BUCK ENVIST,KL47LBEP0TB167811,167811,"$29,851.30 "," (29,851.30)",167811,2026 BUICK ENVISTA      3/10/26  KL47LBEP0TB167811,B36418
2026 Buick BUCK ENVIST,KL47LBEP8TB167846,167846,"$29,851.30 "," (29,851.30)",167846,2026 BUICK ENVISTA      3/10/26  KL47LBEP8TB167846,B36419
2026 Buick BUCK ENVIST,KL47LBEP6TB167859,167859,"$29,851.30 "," (29,851.30)",167859,2026 BUICK ENVISTA      3/10/26  KL47LBEP6TB167859,B36417
2026 Buick BUCK ENVIST,KL47LBEP0TB168392,168392,"$29,851.30 "," (29,851.30)",168392,2026 BUICK ENVISTA      3/09/26  KL47LBEP0TB168392,B36404
2026 Buick BUCK ENVIST,KL47LBEP6TB170499,170499,"$29,851.30 "," (29,851.30)",170499,2026 BUICK ENVISTA      3/17/26  KL47LBEP6TB170499,B36469
2026 Buick BUCK ENVIST,KL47LBEP7TB170513,170513,"$29,851.30 ",,,,
2026 Buick ENVISTA,KL47LBEP2TB113071,113071,"$29,891.40 "," (29,891.40)",113071,"WARD, RYAN BENJAMIN     2/17/26  KL47LBEP2TB113071",B36269
2026 Buick BUCK ENCOR G,KL4AMDSLXTB167296,167296,"$30,017.85 "," (30,017.85)",167296,2026 BUICK ENCORE GX    3/20/26  KL4AMDSLXTB167296,B36516
2026 Buick BUCK ENCOR G,KL4AMDSL5TB169327,169327,"$30,017.85 "," (30,017.85)",169327,2026 BUICK ENCORE GX    3/17/26  KL4AMDSL5TB169327,B36471
2026 Buick BUCK ENCOR G,KL4AMDSL7TB169328,169328,"$30,017.85 ",,,,
2026 Buick BUCK ENCOR G,KL4AMDSL9TB169962,169962,"$30,017.85 "," (30,017.85)",169962,"TUBBS, NITOSHA JOY      3/18/26  KL4AMDSL9TB169962",B36482
2026 Buick BUCK ENCOR G,KL4AMDSL1TB170149,170149,"$30,017.85 "," (30,017.85)",170149,2026 BUICK ENCORE GX    3/20/26  KL4AMDSL1TB170149,B36514
2026 Buick BUCK ENCOR G,KL4AMDSL3TB153059,153059,"$30,110.35 "," (30,110.35)",153059,2026 BUICK ENCORE GX    3/11/26  KL4AMDSL3TB153059,B36431
2026 Buick BUCK ENCOR G,KL4AMDSL3TB153336,153336,"$30,110.35 "," (30,110.35)",153336,2026 BUICK ENCORE GX    3/16/26  KL4AMDSL3TB153336,B36463
2026 Buick BUCK ENCOR G,KL4AMDSL3TB156107,156107,"$30,110.35 "," (30,110.35)",156107,2026 BUICK ENCORE GX    3/17/26  KL4AMDSL3TB156107,B36472
2026 Buick BUCK ENCOR G,KL4AMDSL8TB156121,156121,"$30,110.35 "," (30,110.35)",156121,2026 BUICK ENCORE GX    3/25/26  KL4AMDSL8TB156121,B36575
2026 Buick BUCK ENCOR G,KL4AMDSL0TB156338,156338,"$30,110.35 "," (30,110.35)",156338,2026 BUICK ENCORE GX    3/27/26  KL4AMDSL0TB156338,B36630
2026 Buick BUCK ENCOR G,KL4AMDSL0TB156355,156355,"$30,110.35 "," (30,110.35)",156355,2026 BUICK ENCORE GX    3/23/26  KL4AMDSL0TB156355,B36520
2026 Buick BUCK ENCOR G,KL4AMDSL2TB157054,157054,"$30,110.35 "," (30,110.35)",157054,2026 BUICK ENCORE GX    3/26/26  KL4AMDSL2TB157054,B36595
2026 Buick BUCK ENCOR G,KL4AMDSLXTB157089,157089,"$30,110.35 "," (30,110.35)",157089,2026 BUICK ENCORE GX    3/27/26  KL4AMDSLXTB157089,B36610
2026 Buick BUCK ENCOR G,KL4AMDSL9TB157374,157374,"$30,110.35 "," (30,110.35)",157374,2026 BUICK ENCORE GX    3/23/26  KL4AMDSL9TB157374,B36538
2026 Buick BUCK ENCOR G,KL4AMDSL5TB157842,157842,"$30,110.35 "," (30,110.35)",157842,2026 BUICK ENCORE GX    3/04/26  KL4AMDSL5TB157842,B36372
2026 Buick BUCK ENVIST,KL47LBEP1TB123669,123669,"$30,309.18 "," (30,309.18)",123669,2026 BUICK ENVISTA      2/09/26  KL47LBEP1TB123669,B36233
2026 Buick BUCK ENVIST,KL47LBEP5TB123755,123755,"$30,309.18 "," (30,309.18)",123755,2026 BUICK ENVISTA      2/10/26  KL47LBEP5TB123755,B36245
2026 Buick BUCK ENVIST,KL47LBEP0TB123792,123792,"$30,309.18 "," (30,309.18)",123792,2026 BUICK ENVISTA      2/09/26  KL47LBEP0TB123792,B36234
2026 Buick BUCK ENVIST,KL47LBEP4TB123827,123827,"$30,309.18 "," (30,309.18)",123827,2026 BUICK ENVISTA      1/20/26  KL47LBEP4TB123827,B36166
2026 Buick BUCK ENVIST,KL47LBEP7TB123837,123837,"$30,309.18 "," (30,309.18)",123837,2026 BUICK ENVISTA      2/09/26  KL47LBEP7TB123837,B36232
2026 Buick ENVISTA,KL47LBEP0TB109357,109357,"$30,438.81 "," (30,438.81)",109357,"ARKANSAS, ALYASHA       2/17/26  KL47LBEP0TB109357",B36265
2026 Buick ENVISTA,KL47LBEPXTB110824,110824,"$30,438.81 "," (30,438.81)",110824,"HARMON, VENISHA CANTR   2/17/26  KL47LBEPXTB110824",B36272
2026 Subaru CROSSTREK5 DO,4S4GUHD6XT3745191,745191,"$30,516.00 "," (30,516.00)",745191,2026 SUBARU CROSSTREK   2/28/26  4S4GUHD6XT3745191,R5027
2026 Subaru CROSSTREK5 DO,4S4GUHD69T3745568,745568,"$30,516.00 ",,,,
2026 Subaru CROSSTREK5 DO,4S4GUHD68T3746498,746498,"$30,516.00 "," (30,516.00)",746498,2026 SUBARU CROSSTREK   3/05/26  4S4GUHD68T3746498,R5044
2026 Subaru CROSSTREK5 DO,4S4GUHD6XT3748415,748415,"$30,516.00 "," (30,516.00)",748415,2026 SUBARU CROSSTREK   3/17/26  4S4GUHD6XT3748415,R5075
2026 Subaru CROSSTREK5 DO,4S4GUHD6XT3751265,751265,"$30,516.00 "," (30,516.00)",751265,2026 SUBARU CROSSTREK   3/11/26  4S4GUHD6XT3751265,R5072
2026 Subaru CROSSTREK5 DO,4S4GUHD6XT3752271,752271,"$30,516.00 "," (30,516.00)",752271,2026 SUBARU CROSSTREK   3/24/26  4S4GUHD6XT3752271,R5132
2026 Subaru CROSSTREK5 DO,4S4GUHD6XT3752335,752335,"$30,516.00 "," (30,516.00)",752335,2026 SUBARU CROSSTREK   3/23/26  4S4GUHD6XT3752335,R5124
2025 Subaru CROSSTREK5 DO,4S4GUHF68S3767170,767170,"$30,553.00 "," (30,553.00)",767170,SUBARU LOANER          12/31/25  4S4GUHF68S3767170,R4304
2026 Buick BUCK ENCOR G,KL4AMDSL5TB149403,149403,"$30,572.85 "," (30,572.85)",149403,2026 BUICK ENCORE GX    3/23/26  KL4AMDSL5TB149403,B36518
2026 Buick BUCK ENCOR G,KL4AMDSL4TB169870,169870,"$30,572.85 "," (30,572.85)",169870,2026 BUICK ENCORE GX    3/27/26  KL4AMDSL4TB169870,B36629
