ACURA,Serial No/VIN,VIN6,Ending Balance, 324         ,VIN6,Description,Control    
2026 Acura ACURAINTEGA-S,19UDE4H30TA005756,005756,"$36,354.90 "," (36,354.90)",005756,2026 ACURA INTEGRA     11/17/25  19UDE4H30TA005756,A7767
2026 Acura ACURAINTEGA-S,19UDE4H38TA009148,009148,"$36,454.90 "," (36,454.90)",009148,2026 ACURA INTEGRA      2/05/26  19UDE4H38TA009148,A7915
2026 Acura ACURAINTEGA-S,19UDE4H30TA010584,010584,"$36,454.90 "," (36,454.90)",010584,2026 ACURA INTEGRA      2/12/26  19UDE4H30TA010584,A7940
2026 Acura ACURAINTEGA-S,19UDE4H37TA014972,014972,"$36,454.90 "," (36,454.90)",014972,2026 ACURA INTEGRA      4/03/26  19UDE4H37TA014972,A8163
2026 Acura ACURAINTEGA-S,19UDE4H32TA014989,014989,"$36,454.90 "," (36,454.90)",014989,2026 ACURA INTEGRA      4/08/26  19UDE4H32TA014989,A8162
2026 Acura ACURAINTEGA-S,19UDE4H36TA015109,015109,"$36,454.90 "," (36,454.90)",015109,2026 ACURA INTEGRA      4/13/26  19UDE4H36TA015109,A8149
,,,," (36,454.90)",015693,2026 ACURA INTEGRA      4/30/26  19UDE4H38TA015693,A8236
,,,," (36,799.90)",015709,2026 ACURA INTEGRA      4/30/26  19UDE4H38TA015709,A8227
2026 Acura ACURAADX A,3HDSA2H31TM703896,703896,"$37,525.00 "," (37,525.00)",703896,2026 ACURA ADX          3/24/26  3HDSA2H31TM703896,A8098
2026 Acura ACURAADX A,3HDSA2H35TM701908,701908,"$38,101.00 "," (38,101.00)",701908,2026 ACURA ADX          3/03/26  3HDSA2H35TM701908,A7960
2026 Acura ACURAADXA-EC,3HDSA1H57TM701761,701761,"$38,122.00 "," (38,122.00)",701761,2026 ACURA ADX          3/03/26  3HDSA1H57TM701761,A8003
2026 Acura ACURAADXA-EC,3HDSA1H50TM700998,700998,"$38,698.00 "," (38,698.00)",700998,2026 ACURA ADX          3/03/26  3HDSA1H50TM700998,A8002
2026 Acura ACURAADXA-EC,3HDSA1H50TM701021,701021,"$38,698.00 "," (38,698.00)",701021,2026 ACURA ADX          2/11/26  3HDSA1H50TM701021,A7924
2026 Acura ACURAADXA-EC,3HDSA1H58TM701400,701400,"$38,698.00 "," (38,698.00)",701400,2026 ACURA ADX          2/16/26  3HDSA1H58TM701400,A7931
2026 Acura ACURAADXA-EC,3HDSA1H50TM701469,701469,"$38,698.00 "," (38,698.00)",701469,2026 ACURA ADX          2/25/26  3HDSA1H50TM701469,A7957
2026 Acura ACURAADXA-EC,3HDSA1H5XTM701589,701589,"$38,698.00 "," (38,698.00)",701589,2026 ACURA ADX          3/07/26  3HDSA1H5XTM701589,A7985
2026 Acura ACURAADXA-EC,3HDSA1H56TM701606,701606,"$38,698.00 "," (38,698.00)",701606,"CRAWFORD JR, LARRY WA   2/25/26  3HDSA1H56TM701606",A7952
2026 Acura ACURAADXA-EC,3HDSA1H51TM701612,701612,"$38,698.00 "," (38,698.00)",701612,2026 ACURA ADX          3/03/26  3HDSA1H51TM701612,A8007
2026 Acura ACURAADXA-EC,3HDSA1H57TM701680,701680,"$38,698.00 "," (38,698.00)",701680,2026 ACURA ADX          3/07/26  3HDSA1H57TM701680,A7978
2026 Acura ACURAADXA-EC,3HDSA1H59TM701681,701681,"$38,698.00 "," (38,698.00)",701681,2026 ACURA ADX          3/16/26  3HDSA1H59TM701681,A8040
2026 Acura ACURAADXA-EC,3HDSA1H55TM702150,702150,"$38,698.00 "," (38,698.00)",702150,2026 ACURA ADX          3/24/26  3HDSA1H55TM702150,A8095
2026 Acura ACURAADXA-EC,3HDSA1H57TM702327,702327,"$38,698.00 "," (38,698.00)",702327,"PHETSARATH, BRENDA      3/18/26  3HDSA1H57TM702327",A8038
2026 Acura ACURAADXA-EC,3HDSA1H55TM702536,702536,"$38,698.00 "," (38,698.00)",702536,2026 ACURA ADX          3/24/26  3HDSA1H55TM702536,A8096
2026 Acura ACURAADXA-EC,3HDSA1H52TM702879,702879,"$38,698.00 "," (38,698.00)",702879,2026 ACURA ADX          3/24/26  3HDSA1H52TM702879,A8089
2026 Acura ACURAADXA-EC,3HDSA1H56TM703503,703503,"$38,698.00 "," (38,698.00)",703503,2026 ACURA ADX          4/09/26  3HDSA1H56TM703503,A8147
2026 Acura ACURAADXA-EC,3HDSA1H51TM703540,703540,"$38,698.00 "," (38,698.00)",703540,2026 ACURA ADX          4/15/26  3HDSA1H51TM703540,A8176
2026 Acura ACURAADXA-EC,3HDSA1H58TM704152,704152,"$38,698.00 "," (38,698.00)",704152,2026 ACURA ADX          4/15/26  3HDSA1H58TM704152,A8209
2026 Acura INETEGRA,19UDE4H60TA003144,003144,"$38,827.00 "," (38,827.00)",003144,2026 ACURA INTEGRA      1/09/26  19UDE4H60TA003144,A7681
2026 Acura ACURAINTEGA-S,19UDE4H64TA007195,007195,"$38,827.00 "," (38,827.00)",007195,2026 ACURA INTEGRA     12/30/25  19UDE4H64TA007195,A7853
2026 Acura ACURAINTEGA-S,19UDE4H62TA000438,000438,"$39,403.00 "," (39,403.00)",000438,2026 ACURA INTEGRA      9/12/25  19UDE4H62TA000438,A7579
2026 Acura ACURAINTEGA-S,19UDE4H63TA005390,005390,"$39,403.00 "," (39,403.00)",005390,2026 ACURA INTEGRA     11/03/25  19UDE4H63TA005390,A7750
2026 Acura INTEGRA,19UDE4G79TA005629,005629,"$39,403.00 "," (39,403.00)",005629,2026 ACURA INTEGRA      2/13/26  19UDE4G79TA005629,A7950
2026 Acura ACURAINTEGA-S,19UDE4H60TA006075,006075,"$39,403.00 "," (39,403.00)",006075,2026 ACURA INTEGRA     11/24/25  19UDE4H60TA006075,A7775
2026 Acura ACURAINTEGA-S,19UDE4H67TA006445,006445,"$39,403.00 "," (39,403.00)",006445,2026 ACURA INTEGRA     12/15/25  19UDE4H67TA006445,A7809
2026 Acura ACURAINTEGA-S,19UDE4H62TA008409,008409,"$39,503.00 "," (39,503.00)",008409,2026 ACURA INTEGRA      1/21/26  19UDE4H62TA008409,A7889
2026 Acura ACURAINTEGA-S,19UDE4H63TA008435,008435,"$39,503.00 "," (39,503.00)",008435,2026 ACURA INTEGRA      1/21/26  19UDE4H63TA008435,A7888
2026 Acura ACURAINTEGA-S,19UDE4H6XTA011381,011381,"$39,503.00 "," (39,503.00)",011381,2026 ACURA INTEGRA      2/26/26  19UDE4H6XTA011381,A7951
2026 Acura ACURAINTEGA-S,19UDE4H66TA012477,012477,"$39,503.00 "," (39,503.00)",012477,2026 ACURA INTEGRA      3/04/26  19UDE4H66TA012477,A8019
2026 Acura ACURAINTEGA-S,19UDE4H6XTA014930,014930,"$39,503.00 "," (39,503.00)",014930,"GARCIA, MARYLI          4/03/26  19UDE4H6XTA014930",A8160
2026 Acura ACURAINTEGA-S,19UDE4G74TA015274,015274,"$39,503.00 "," (39,503.00)",015274,2026 ACURA INTEGRA      4/13/26  19UDE4G74TA015274,A8150
,,,," (39,503.00)",015644,2026 ACURA INTEGRA      4/30/26  19UDE4H63TA015644,A8234
,,,," (39,503.00)",015750,2026 ACURA INTEGRA      4/30/26  19UDE4H62TA015750,A8235
,,,," (39,503.00)",016235,2026 ACURA INTEGRA      4/30/26  19UDE4G7XTA016235,A8229
,,,," (39,503.00)",016423,2026 ACURA INTEGRA      4/30/26  19UDE4H63TA016423,A8228
2026 Acura ACURAINTEGA-S,19UDE4G70TA010086,010086,"$39,848.00 "," (39,848.00)",010086,2026 ACURA INTEGRA      3/07/26  19UDE4G70TA010086,A8032
2026 Acura ACURAINTEGA-S,19UDE4H61TA014783,014783,"$39,848.00 "," (39,848.00)",014783,2026 ACURA INTEGRA      3/30/26  19UDE4H61TA014783,A8108
2026 Acura ACURAADXAW-SP,3HDSA2H57TM700616,700616,"$39,942.00 "," (39,942.00)",700616,2026 ACURA ADX          1/05/26  3HDSA2H57TM700616,A7845
2026 Acura ACURAADXAW-SP,3HDSA2H55TM702896,702896,"$40,042.00 "," (40,042.00)",702896,2026 ACURA ADX          3/18/26  3HDSA2H55TM702896,A8039
2026 Acura ACURAADXAW-SP,3HDSA2H57TM701460,701460,"$40,618.00 "," (40,618.00)",701460,2026 ACURA ADX          2/13/26  3HDSA2H57TM701460,A7904
2026 Acura ACURAADXAW-SP,3HDSA2H52TM702841,702841,"$40,618.00 "," (40,618.00)",702841,2026 ACURA ADX          3/24/26  3HDSA2H52TM702841,A8094
2026 Acura ACURAADXAW-SP,3HDSA2H59TM702920,702920,"$40,618.00 "," (40,618.00)",702920,2026 ACURA ADX          3/02/26  3HDSA2H59TM702920,A8000
2026 Acura ACURAADXA-ECA,3HDSA1H77TM700384,700384,"$42,545.20 "," (42,545.20)",700384,2026 ACURA ADX          1/05/26  3HDSA1H77TM700384,A7847
2026 Acura ACURAADXAW-SP,3HDSA2H74TM700882,700882,"$43,985.20 "," (43,985.20)",700882,2026 ACURA ADX          3/04/26  3HDSA2H74TM700882,A7989
2026 Acura ACURAADXAW-SP,3HDSA2H70TM703651,703651,"$43,985.20 "," (43,985.20)",703651,2026 ACURA ADX          3/31/26  3HDSA2H70TM703651,A8050
2026 Acura ACURAADXAW-SP,3HDSA2H71TM700371,700371,"$44,561.20 "," (44,561.20)",700371,2026 ACURA ADX          3/07/26  3HDSA2H71TM700371,A8024
2026 Acura ACURAADXAW-SP,3HDSA2H78TM702585,702585,"$44,561.20 "," (44,561.20)",702585,2026 ACURA ADX          3/07/26  3HDSA2H78TM702585,A7975
2026 Acura ACURARDXSHWD,5J8TC2H45TL013743,013743,"$45,422.50 "," (45,422.50)",013743,2026 ACURA RDX          3/13/26  5J8TC2H45TL013743,A8043
2026 Acura ACURARDXSHWD,5J8TC2H47TL015042,015042,"$45,422.50 "," (45,422.50)",015042,2026 ACURA RDX          3/26/26  5J8TC2H47TL015042,A8112
2026 Acura ACURARDXSHWD,5J8TC2H44TL015757,015757,"$45,422.50 "," (45,422.50)",015757,"CAMPBELL, MARSHA JEAN   3/26/26  5J8TC2H44TL015757",A8127
2026 Acura ACURARDXSHWD,5J8TC2H47TL011847,011847,"$45,993.70 "," (45,993.70)",011847,2026 ACURA RDX          3/13/26  5J8TC2H47TL011847,A7956
2026 Acura ACURARDXSHWD,5J8TC2H46TL014772,014772,"$45,993.70 "," (45,993.70)",014772,2026 ACURA RDX          3/24/26  5J8TC2H46TL014772,A8071
2026 Acura ACURARDXSHWD,5J8TC2H49TL014992,014992,"$45,993.70 "," (45,993.70)",014992,2026 ACURA RDX          3/26/26  5J8TC2H49TL014992,A8111
2026 Acura ACURARDXSHWD,5J8TC2H44TL015287,015287,"$45,993.70 "," (45,993.70)",015287,2026 ACURA RDX          3/25/26  5J8TC2H44TL015287,A8134
2026 Acura ACURARDXSHWD,5J8TC2H47TL016014,016014,"$45,993.70 "," (45,993.70)",016014,2026 ACURA RDX          3/26/26  5J8TC2H47TL016014,A8118
2026 Acura ACURARDXSHWD,5J8TC2H45TL016500,016500,"$45,993.70 "," (45,993.70)",016500,2026 ACURA RDX          3/25/26  5J8TC2H45TL016500,A8119
2026 Acura ACURARDXSHWD,5J8TC2H49TL017116,017116,"$45,993.70 "," (45,993.70)",017116,2026 ACURA RDX          3/31/26  5J8TC2H49TL017116,A8146
2026 Acura ACURARDXSHWD,5J8TC2H4XTL017142,017142,"$45,993.70 "," (45,993.70)",017142,2026 ACURA RDX          4/03/26  5J8TC2H4XTL017142,A8143
2026 Acura ACURARDXSHWD,5J8TC2H43TL020111,020111,"$45,993.70 "," (45,993.70)",020111,2026 ACURA RDX          4/29/26  5J8TC2H43TL020111,A8223
2026 Acura ACURARDXSHWDT,5J8TC2H57TL015504,015504,"$46,860.40 "," (46,860.40)",015504,2026 ACURA RDX          3/23/26  5J8TC2H57TL015504,A8080
2026 Acura ACURARDXSHWDT,5J8TC2H50TL015568,015568,"$46,860.40 "," (46,860.40)",015568,2026 ACURA RDX          3/26/26  5J8TC2H50TL015568,A8136
2026 Acura ACURARDXSHWDT,5J8TC2H54TL006291,006291,"$47,331.60 "," (47,331.60)",006291,D&M LEASING             1/13/26  5J8TC2H54TL006291,A7869
2026 Acura ACURARDXSHWDT,5J8TC2H53TL006346,006346,"$47,331.60 "," (47,331.60)",006346,2026 ACURA RDX          1/13/26  5J8TC2H53TL006346,A7868
2026 Acura ACURARDXSHWDT,5J8TC2H5XTL010118,010118,"$47,431.60 "," (47,431.60)",010118,2026 ACURA RDX          2/24/26  5J8TC2H5XTL010118,A7977
2026 Acura ACURARDXSHWDT,5J8TC2H55TL011242,011242,"$47,431.60 "," (47,431.60)",011242,2026 ACURA RDX          3/18/26  5J8TC2H55TL011242,A8055
2026 Acura ACURARDXSHWDT,5J8TC2H52TL011912,011912,"$47,431.60 "," (47,431.60)",011912,2026 ACURA RDX          2/20/26  5J8TC2H52TL011912,A7955
2026 Acura ACURARDXSHWDT,5J8TC2H52TL012784,012784,"$47,431.60 "," (47,431.60)",012784,2026 ACURA RDX          2/24/26  5J8TC2H52TL012784,A7980
2026 Acura ACURARDXSHWDT,5J8TC2H55TL013248,013248,"$47,431.60 "," (47,431.60)",013248,2026 ACURA RDX          2/27/26  5J8TC2H55TL013248,A8015
2026 Acura ACURARDXSHWDT,5J8TC2H52TL013790,013790,"$47,431.60 "," (47,431.60)",013790,2026 ACURA RDX          3/04/26  5J8TC2H52TL013790,A8025
2026 Acura ACURARDXSHWDT,5J8TC2H53TL014673,014673,"$47,431.60 "," (47,431.60)",014673,2026 ACURA RDX          3/24/26  5J8TC2H53TL014673,A8079
2026 Acura ACURARDXSHWDT,5J8TC2H58TL016581,016581,"$47,431.60 "," (47,431.60)",016581,2026 ACURA RDX          3/25/26  5J8TC2H58TL016581,A8120
2026 Acura ACURARDXSHWDT,5J8TC2H54TL016898,016898,"$47,431.60 "," (47,431.60)",016898,2026 ACURA RDX          3/26/26  5J8TC2H54TL016898,A8122
2026 Acura ACURARDXSHWDT,5J8TC2H53TL017198,017198,"$47,431.60 "," (47,431.60)",017198,2026 ACURA RDX          3/31/26  5J8TC2H53TL017198,A8141
2026 Acura ACURARDXSHWDT,5J8TC2H57TL017284,017284,"$47,431.60 "," (47,431.60)",017284,2026 ACURA RDX          4/08/26  5J8TC2H57TL017284,A8170
2026 Acura ACURARDXSHWDT,5J8TC2H54TL017825,017825,"$47,431.60 "," (47,431.60)",017825,2026 ACURA RDX          4/08/26  5J8TC2H54TL017825,A8166
2026 Acura ACURARDXSHWDT,5J8TC2H56TL018622,018622,"$47,431.60 "," (47,431.60)",018622,2026 ACURA RDX          4/13/26  5J8TC2H56TL018622,A8179
2026 Acura ACURARDXSHWDT,5J8TC2H56TL020502,020502,"$47,431.60 "," (47,431.60)",020502,2026 ACURA RDX          4/29/26  5J8TC2H56TL020502,A8203
2026 Acura ACURARDXSHWDA,5J8TC2H68TL005489,005489,"$50,086.20 "," (50,086.20)",005489,2026 ACURA RDX         12/23/25  5J8TC2H68TL005489,A7832
2026 Acura ACURARDXSHWDA,5J8TC2H68TL008652,008652,"$50,186.20 "," (50,186.20)",008652,2026 ACURA RDX          2/05/26  5J8TC2H68TL008652,A7899
2026 Acura ACURARDXSHWDA,5J8TC2H64TL011919,011919,"$50,186.20 "," (50,186.20)",011919,2026 ACURA RDX          3/23/26  5J8TC2H64TL011919,A8066
2026 Acura RDX,5J8TC2H65TL012822,012822,"$50,186.20 "," (50,186.20)",012822,2026 ACURA RDX          3/13/26  5J8TC2H65TL012822,A8053
2026 Acura ACURARDXSHWDA,5J8TC2H65TL017888,017888,"$50,186.20 "," (50,186.20)",017888,2026 ACURA RDX          4/09/26  5J8TC2H65TL017888,A8171
2026 Acura ACURARDXSHWDA,5J8TC2H63TL019705,019705,"$50,186.20 "," (50,186.20)",019705,2026 ACURA RDX          4/17/26  5J8TC2H63TL019705,A8185
2026 Acura ACURARDXSHWDA,5J8TC2H65TL019995,019995,"$50,186.20 "," (50,186.20)",019995,2026 ACURA RDX          4/29/26  5J8TC2H65TL019995,A8225
2026 Acura ACURAMDX,5J8YD9H30TL005987,005987,"$51,955.00 "," (51,955.00)",005987,2026 ACURA MDX          4/09/26  5J8YD9H30TL005987,A8165
2026 Acura ACURARDXSHWDA,5J8TC2H73TL014903,014903,"$52,123.00 "," (52,123.00)",014903,2026 ACURA RDX          3/11/26  5J8TC2H73TL014903,A8085
2026 Acura ACURARDXSHWDA,5J8TC2H7XTL015868,015868,"$52,123.00 "," (52,123.00)",015868,"TUCKER, SHAUNA JO       3/26/26  5J8TC2H7XTL015868",A8132
2026 Acura ACURARDXSHWDA,5J8TC2H79TL016641,016641,"$52,123.00 "," (52,123.00)",016641,2026 ACURA RDX          3/25/26  5J8TC2H79TL016641,A8115
2026 Acura ACURARDXSHWDA,5J8TC2H76TL016998,016998,"$52,123.00 "," (52,123.00)",016998,2026 ACURA RDX          3/26/26  5J8TC2H76TL016998,A8117
2026 Acura ACURARDXSHWDA,5J8TC2H73TL017347,017347,"$52,123.00 "," (52,123.00)",017347,2026 ACURA RDX          4/29/26  5J8TC2H73TL017347,A8154
2026 Acura ACURARDXSHWDA,5J8TC2H72TL019400,019400,"$52,123.00 "," (52,123.00)",019400,2026 ACURA RDX          4/20/26  5J8TC2H72TL019400,A8221
2026 Acura ACURAMDX,5J8YD9H34TL006009,006009,"$52,520.20 "," (52,520.20)",006009,2026 ACURA MDX          4/08/26  5J8YD9H34TL006009,A8175
2026 Acura ACURAINTEGTYP,19UDE5G95TA001522,001522,"$53,028.20 "," (53,028.20)",001522,"MCCAIN, CODY BLAKE      3/16/26  19UDE5G95TA001522",A8057
2026 Acura ACURAINTEGTYP,19UDE5G98TA001725,001725,"$53,028.20 "," (53,028.20)",001725,2026 ACURA INTEGRA      4/03/26  19UDE5G98TA001725,A8156
2026 Acura ACURAINTEGTYP,19UDE5G96TA001237,001237,"$53,373.20 "," (53,373.20)",001237,2026 ACURA INTEGRA      2/12/26  19UDE5G96TA001237,A7941
2026 Acura ACURARDXSHWDA,5J8TC2H83TL014957,014957,"$53,447.80 "," (53,447.80)",014957,2026 ACURA RDX          3/25/26  5J8TC2H83TL014957,A8133
2026 Acura ACURARDXSHWDA,5J8TC2H85TL014135,014135,"$54,019.00 "," (54,019.00)",014135,2026 ACURA RDX          3/26/26  5J8TC2H85TL014135,A8114
2026 Acura ACURARDXSHWDA,5J8TC2H8XTL017595,017595,"$54,019.00 "," (54,019.00)",017595,2026 ACURA RDX          4/03/26  5J8TC2H8XTL017595,A8158
2026 Acura ACURARDXSHWDA,5J8TC2H85TL018945,018945,"$54,019.00 "," (54,019.00)",018945,2026 ACURA RDX          4/08/26  5J8TC2H85TL018945,A8186
2026 Acura ACURARDXSHWDA,5J8TC2H89TL020570,020570,"$54,019.00 "," (54,019.00)",020570,2026 ACURA RDX          4/29/26  5J8TC2H89TL020570,A8226
2026 Acura ACURAMDXSHWD,5J8YE1H34TL028204,028204,"$54,100.00 "," (54,100.00)",028204,2026 ACURA MDX          3/18/26  5J8YE1H34TL028204,A8061
2026 Acura ACURAMDXSHWD,5J8YE1H34TL031832,031832,"$54,100.00 "," (54,100.00)",031832,2026 ACURA MDX          4/13/26  5J8YE1H34TL031832,A8207
2026 Acura ACURAMDXSHWD,5J8YE1H3XTL025694,025694,"$54,665.20 "," (54,665.20)",025694,"CANADA, ANGEL MARY      2/27/26  5J8YE1H3XTL025694",A7997
2026 Acura ACURAMDXSHWD,5J8YE1H32TL030100,030100,"$54,665.20 "," (54,665.20)",030100,2026 ACURA MDX          4/03/26  5J8YE1H32TL030100,A8152
2026 Acura ACURAMDXSHWD,5J8YE1H30TL031844,031844,"$54,665.20 "," (54,665.20)",031844,2026 ACURA MDX          4/13/26  5J8YE1H30TL031844,A8208
2026 Acura ACURAMDXSHWD,5J8YE1H3XTL032421,032421,"$54,665.20 "," (54,665.20)",032421,2026 ACURA MDX          4/15/26  5J8YE1H3XTL032421,A8218
2026 Acura ACURAMDXSHWD,5J8YE1H31TL032940,032940,"$54,665.20 "," (54,665.20)",032940,2026 ACURA MDX          4/20/26  5J8YE1H31TL032940,A8189
2026 Acura ACURAMDXTE,5J8YD9H40TL005755,005755,"$55,332.40 "," (55,332.40)",005755,2026 ACURA MDX          3/30/26  5J8YD9H40TL005755,A8131
2026 Acura ACURAMDXTE,5J8YD9H41TL005862,005862,"$55,332.40 "," (55,332.40)",005862,2026 ACURA MDX          4/29/26  5J8YD9H41TL005862,A8153
2026 Acura ACURAMDXTE,5J8YD9H44TL006097,006097,"$55,332.40 "," (55,332.40)",006097,2026 ACURA MDX          4/17/26  5J8YD9H44TL006097,A8184
2026 Acura ACURAMDXTE,5J8YD9H47TL006109,006109,"$55,332.40 "," (55,332.40)",006109,2026 ACURA MDX          4/17/26  5J8YD9H47TL006109,A8182
2026 Acura ACURAMDXTE,5J8YD9H48TL004126,004126,"$55,897.60 "," (55,897.60)",004126,2026 ACURA MDX          1/20/26  5J8YD9H48TL004126,A7883
2026 Acura ACURAMDXTE,5J8YD9H43TL004910,004910,"$55,897.60 "," (55,897.60)",004910,2026 ACURA MDX          2/24/26  5J8YD9H43TL004910,A7984
2026 Acura ACURAMDXTE,5J8YD9H40TL006078,006078,"$55,897.60 "," (55,897.60)",006078,"BADKE, MATTHEW EDWARD   4/08/26  5J8YD9H40TL006078",A8173
2026 Acura ACURAMDXTE,5J8YD9H4XTL006184,006184,"$55,897.60 "," (55,897.60)",006184,2026 ACURA MDX          4/20/26  5J8YD9H4XTL006184,A8188
2026 Acura ACURAMDXTE,5J8YD9H48TL006250,006250,"$55,897.60 "," (55,897.60)",006250,2026 ACURA MDX          4/24/26  5J8YD9H48TL006250,A8202
2026 Acura ACURAMDXSHWDT,5J8YE1H44TL027465,027465,"$57,404.80 "," (57,404.80)",027465,2026 ACURA MDX          3/23/26  5J8YE1H44TL027465,A8077
2026 Acura ACURAMDXSHWDT,5J8YE1H42TL030932,030932,"$57,404.80 "," (57,404.80)",030932,2026 ACURA MDX          4/09/26  5J8YE1H42TL030932,A8168
2026 Acura ACURAMDXSHWDT,5J8YE1H41TL031702,031702,"$57,404.80 "," (57,404.80)",031702,2026 ACURA MDX          4/15/26  5J8YE1H41TL031702,A8216
2026 Acura ACURAMDXSHWDT,5J8YE1H42TL033121,033121,"$57,404.80 "," (57,404.80)",033121,2026 ACURA MDX          4/20/26  5J8YE1H42TL033121,A8192
2026 Acura ACURAMDXSHWDT,5J8YE1H4XTL018544,018544,"$57,870.00 "," (57,870.00)",018544,2026 ACURA MDX          1/05/26  5J8YE1H4XTL018544,A7857
2026 Acura ACURAMDXSHWDT,5J8YE1H47TL026391,026391,"$57,970.00 "," (57,970.00)",026391,2026 ACURA MDX          2/27/26  5J8YE1H47TL026391,A8014
2026 Acura ACURAMDXSHWDT,5J8YE1H43TL032124,032124,"$57,970.00 "," (57,970.00)",032124,2026 ACURA MDX          4/14/26  5J8YE1H43TL032124,A8214
2026 Acura ACURAMDXSHWDT,5J8YE1H40TL032372,032372,"$57,970.00 "," (57,970.00)",032372,2026 ACURA MDX          4/15/26  5J8YE1H40TL032372,A8220
2026 Acura ACURAMDXSHWDT,5J8YE1H41TL032395,032395,"$57,970.00 "," (57,970.00)",032395,2026 ACURA MDX          4/15/26  5J8YE1H41TL032395,A8219
2026 Acura ACURAMDXSHWDT,5J8YE1H43TL032608,032608,"$57,970.00 "," (57,970.00)",032608,"FRANKLIN, MELISSA NIC   4/20/26  5J8YE1H43TL032608",A8215
2026 Acura ACURAMDXSHWDA,5J8YE1H02TL005994,005994,"$60,006.00 "," (60,006.00)",005994,2026 ACURA MDX          9/04/25  5J8YE1H02TL005994,A7567
2026 Acura ACURAMDXSHWDA,5J8YE1H07TL022502,022502,"$60,671.20 "," (60,671.20)",022502,2026 ACURA MDX          2/03/26  5J8YE1H07TL022502,A7910
2026 Acura ACURAMDXSHWDA,5J8YE1H07TL023021,023021,"$60,671.20 "," (60,671.20)",023021,"RICHARDSON, TERRI STE   2/05/26  5J8YE1H07TL023021",A7918
2026 Acura ACURAMDXSHWDA,5J8YE1H08TL028454,028454,"$60,671.20 "," (60,671.20)",028454,"FABIANO, JEFFREY A      4/13/26  5J8YE1H08TL028454",A8206
2026 Acura ACURAMDXSHWDA,5J8YE1H03TL028720,028720,"$60,671.20 "," (60,671.20)",028720,2026 ACURA MDX          3/23/26  5J8YE1H03TL028720,A8087
